wavelength in nm,EQE in percent
300.982,7.492477876106195
305.988,8.154531946508174
310.992,10.41433296582139
315.993,13.059613696224758
320.99,15.913927781871775
325.985,18.501394169835233
331.013,20.90787401574803
336.002,22.666835187057632
340.986,24.021431870669748
346.005,25.16
350.983,26.51297709923664
355.995,28.29665127020785
361.004,29.70533033033033
366.009,29.937246376811583
371.01,27.64828755510343
376.007,25.789061528899936
381.001,24.02453987730061
385.991,22.800619195046444
391.015,22.208135971022568
395.997,22.152394988946206
401.012,22.56975697569757
405.987,23.4098332250379
410.995,24.419790015847866
415.998,25.50660066006601
420.997,26.622982397874463
425.992,27.723411050782502
430.983,28.85808590806331
436.006,29.98576070066394
440.988,31.2243222207809
446.002,32.42315841954381
451.011,33.572041184587626
456.016,34.78350548060708
461.017,35.732675521821626
466.012,36.45012252899853
471.003,37.1148738105089
475.99,37.48814321140731
481.007,37.60536398467432
485.984,37.82184548691748
490.992,38.013021756647866
495.995,38.18939789599344
500.992,38.45767065725838
506.009,38.65357548240635
510.984,39.133247661883345
515.99,39.826528586553735
520.99,40.590695372432585
525.985,41.60937681664923
531.01,42.78816301903351
535.994,43.98684975599625
541.007,45.24652675140408
546.015,46.38305891132982
551.018,47.62325363128491
556.014,48.89473571305989
561.005,50.10461404526988
565.99,51.266967617671845
571.004,52.400743840074384
576.012,53.46380515673156
581.014,54.397913850425624
586.009,55.0855967661868
590.999,55.79204494226167
596.017,56.30139448404089
600.994,56.666889942291846
605.999,56.99540722596449
610.997,57.21446547177999
615.989,57.438211776892935
621.01,57.5114529432057
625.988,57.49501780461374
630.995,57.532733331257205
635.995,57.50250933997509
640.988,57.53111559563601
646.008,57.52642040127508
650.986,57.4748624237349
655.992,57.44311111111112
660.991,57.24774456096415
666.017,57.11238374043239
671.0,56.862658640730636
676.011,56.49108447822274
681.014,56.09978064402912
686.009,55.685096682489885
690.996,55.28682324840764
696.01,55.175131086142315
701.016,55.13631172839506
706.014,55.28771162259844
711.004,55.520951723724075
715.985,55.73876161659822
720.992,56.12733031674209
725.991,56.521916691130905
731.015,56.76229498628377
735.997,57.02990122396393
741.004,57.36323212015492
746.002,57.499344242925496
750.991,57.572624901353734
756.005,57.48159962139139
761.01,57.00611770463723
766.006,56.25960753560161
770.992,55.55403021853318
776.003,55.00743562795586
781.004,54.52410250211531
785.996,54.19711927496359
791.011,53.72490305619455
795.984,53.51303303074224
801.013,53.32804534524218
805.999,53.12368840130938
811.008,52.932065060737074
816.007,52.72714429868819
820.995,52.34406052787559
826.006,52.88414954650681
831.007,53.278067691815146
835.997,53.03216397036976
841.009,53.26396278858698
846.01,53.23056277718305
851.0,53.354633138132954
856.012,53.57740644972434
861.013,53.574101163200574
866.002,53.826499581681276
871.012,53.926044741124876
876.011,54.210610323018294
880.998,55.815688721325394
886.006,52.47002789780425
891.002,53.367437436842415
895.985,53.25818483595708
900.989,53.17396644594642
906.012,53.016865295478574
910.991,53.12668172131928
915.989,52.94939756291994
921.006,52.9835250728509
926.01,52.92179717171717
931.001,52.85789485261768
936.01,52.77242723149412
941.007,52.37546873695632
945.99,52.180754328033444
950.991,51.75233579304733
956.009,50.86549108900721
961.013,50.96470728036125
966.004,50.836516190025996
971.011,50.4166400579357
976.003,49.66724073380756
981.013,48.48454110814714
986.007,47.91145135254122
990.987,48.47653515939944
996.013,45.64127929806508
1000.993,45.63066797791058
1005.989,44.949920085242425
1010.999,44.635337507852554
1015.994,42.74251097044774
1021.002,41.493681808234584
1025.995,40.08213439720733
1031.002,38.54936371571646
1035.992,36.73226827430294
1040.995,34.963460104399694
1046.012,32.89064033720191
1051.011,30.90681196247068
1055.993,28.601771745324562
1060.988,26.71800420799519
1065.994,24.57218832528914
1071.011,22.28802337836543
1076.01,20.127063484576922
1080.992,18.374564137117826
1086.012,15.032550693703309
1091.014,13.821498699337079
1095.997,12.03452325035228
1100.99,10.417891373801917
